Total Compensation
96190.19013988487
107319.72769230767
94339.59738764046
71401.52006042302
44205.43989478499
188424.36222222226
70446.35214706276
38912.85946523483
76250.06802153435
89994.26061397773
78801.34764132547
166082.67756061684
89022.8769657349
67966.75655913982
104515.23494400665
20493.166617519495
98631.38036585363
86123.5476094114
110783.680158004
70016.07113737096
69729.72273740705
110765.3913327032
117717.65858902574
85449.25317039725
15824.151304347828
100044.07099747477
96575.36619047615
74304.9332835822
42864.05653846154
47968.52290322583
75360.38745183885
40771.130277777775
55672.50668269228
65945.32768862949
102181.79394101881
100179.75876692815
127421.75279331968
141215.3785571144
180788.0869790982
78586.8298231393
141263.70172872025
147552.18573936517
140381.59054187225
99315.44936304331
96191.57823387011
51990.63488888887
112051.6151824817
106112.40943204873
89741.68256691552
99471.11182204491
30940.465000000004
105280.81533018878
103433.58550627176
108963.58978630723
109806.58756692831
112139.68001718225
